"species","GCA","analysis_node","filtered_microRNA_score","N50","BUSCO_filled","BUSCO_Score","MirMachine.version","Total.families.searched","miRNA.score","Model"
"Macaria_notata","GCA_927399415.1","Lepidoptera",70.15,13783192,"C:91.7%[S:89.3%,D:2.4%],F:3.3%,M:5.0%,n:5286",91.7,"0.2.13",67,75.8065,"proto"
"Brachypterus_glaber","GCA_958510825.1","Endopterygota",76.56,212382,"C:90.6%[S:86.2%,D:4.4%],F:4.6%,M:4.8%,n:2124",90.6,"0.2.13",64,80.3279,"proto"
"Kryptolebias_marmoratus","GCA_001649575.2","Clupeocephala",81.58,57646,"C:96.4%[S:95.5%,D:0.9%],F:1.2%,M:2.4%,n:3640",96.4,"0.2.13",114,92.0792,"deutero"
"Xanthorhoe_montanata","GCA_964187945.1","Lepidoptera",74.63,7164157,"C:94.2%[S:93.3%,D:0.9%],F:1.9%,M:3.9%,n:5286",94.2,"0.2.13",67,80.6452,"proto"
"Erinaceus_europaeus","GCA_950295315.1","Laurasiatheria",58.99,999919,"C:92.9%[S:91.8%,D:1.1%],F:1.6%,M:5.5%,n:12234",92.9,"0.2.13",217,67.3684,"deutero"
"Andrena_trimmerana","GCA_952773225.1","Endopterygota",67.19,5669540,"C:92.0%[S:91.7%,D:0.3%],F:2.7%,M:5.3%,n:5991",92,"0.2.13",64,70.4918,"proto"
"Lineus_longissimus","GCA_910592375.2","Lophotrochozoa",89.8,2664490,"C:98.0%[S:97.4%,D:0.6%],F:0.5%,M:1.5%,n:954",98,"0.2.13",49,89.7959,"proto"
"Bombylius_major","GCA_932526615.1","Diptera",64.18,646350,"C:83.2%[S:81.3%,D:1.9%],F:1.2%,M:15.6%,n:3285",83.2,"0.2.13",67,69.3548,"proto"
"Pseudorasbora_parva","GCA_024679245.1","Clupeocephala",82.46,4648668,"C:96.1%[S:94.6%,D:1.5%],F:0.8%,M:3.1%,n:3640",96.1,"0.2.13",114,93.0693,"deutero"
"Athrips_mouffetella","GCA_947532105.1","Lepidoptera",70.15,9643536,"C:92.4%[S:89.2%,D:3.2%],F:4.0%,M:3.6%,n:5286",92.4,"0.2.13",67,75.8065,"proto"
"Cheumatopsyche_charites","GCA_024721215.1","Endopterygota",73.44,2851765,"C:86.8%[S:85.2%,D:1.6%],F:6.1%,M:7.1%,n:2124",86.8,"0.2.13",64,77.0492,"proto"
"Lithophane_socia","GCA_947522845.1","Lepidoptera",68.66,3344772,"C:94.7%[S:94.0%,D:0.7%],F:1.0%,M:4.3%,n:5286",94.7,"0.2.13",67,74.1935,"proto"
"Lycia_hirtaria","GCA_947563705.1","Lepidoptera",70.15,3405063,"C:90.4%[S:87.1%,D:3.3%],F:3.2%,M:6.4%,n:5286",90.4,"0.2.13",67,75.8065,"proto"
"Homo_sapiens","GCA_018471525.1","Catarrhini",84.49,41874143,"C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Protodeltote_pygarga","GCA_936440985.2","Lepidoptera",73.13,2545534,"C:91.8%[S:88.1%,D:3.7%],F:1.9%,M:6.3%,n:5286",91.8,"0.2.13",67,79.0323,"proto"
"Pyrgus_malvae","GCA_911387765.1","Lepidoptera",70.15,25951495,"C:96.0%[S:95.5%,D:0.5%],F:0.6%,M:3.4%,n:5286",96,"0.2.13",67,75.8065,"proto"
"Heteromyza_rotundicornis","GCA_951394025.1","Diptera",73.13,1478352,"C:95.6%[S:85.2%,D:10.4%],F:1.6%,M:2.8%,n:3285",95.6,"0.2.13",67,79.0323,"proto"
"Adelges_tsugae","GCA_045999825.2","Neoptera",50,900015,"C:97.4%[S:96.2%,D:1.2%],F:0.8%,M:1.8%,n:2510",97.4,"0.2.13",62,52.5424,"proto"
"Bombus_bifarius","GCA_011952205.1","Endopterygota",68.75,2202782,"C:92.9%[S:92.6%,D:0.3%],F:2.6%,M:4.5%,n:5991",92.9,"0.2.13",64,72.1311,"proto"
"Pieris_brassicae","GCA_905147085.1","Lepidoptera",64.18,2813355,"C:90.2%[S:89.7%,D:0.5%],F:0.5%,M:9.3%,n:5286",90.2,"0.2.13",67,69.3548,"proto"
"Pygocentrus_nattereri","GCA_015220715.1","Clupeocephala",79.82,12898870,"C:97.2%[S:96.3%,D:0.9%],F:1.1%,M:1.7%,n:3640",97.2,"0.2.13",114,90.099,"deutero"
"Bombus_terrestris","GCA_910592195.2","Endopterygota",70.31,2173302,"C:94.3%[S:93.2%,D:1.1%],F:1.6%,M:4.1%,n:5991",94.3,"0.2.13",64,73.7705,"proto"
"Astyanax_mexicanus","GCA_023375845.1","Clupeocephala",78.07,11530375,"C:97.7%[S:96.6%,D:1.1%],F:0.9%,M:1.4%,n:3640",97.7,"0.2.13",114,88.1188,"deutero"
"Scrobipalpa_costella","GCA_949820665.1","Lepidoptera",74.63,10200444,"C:94.9%[S:91.1%,D:3.8%],F:2.4%,M:2.7%,n:5286",94.9,"0.2.13",67,80.6452,"proto"
"Bombus_pyrosoma","GCA_014825855.1","Endopterygota",70.31,781044,"C:93.3%[S:93.2%,D:0.1%],F:2.5%,M:4.2%,n:5991",93.3,"0.2.13",64,73.7705,"proto"
"Homo_sapiens","GCA_018469685.1","Catarrhini",84.49,45122217,"C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Ectemnius_lituratus","GCA_910593735.2","Endopterygota",62.5,1594160,"C:95.2%[S:95.1%,D:0.1%],F:1.0%,M:3.8%,n:5991",95.2,"0.2.13",64,65.5738,"proto"
"Nipponacmea_schrenckii","GCA_030562195.1","Mollusca",92.31,558043,"C:92.1%[S:83.0%,D:9.1%],F:1.7%,M:6.2%,n:5295",92.1,"0.2.13",52,92.3077,"proto"
"Nipponacmea_schrenckii","GCA_030562195.1","Mollusca",92.31,558043,"C:92.1%[S:83.0%,D:9.1%],F:1.7%,M:6.2%,n:5295",92.1,"0.2.13",52,92.3077,"proto"
"Nipponacmea_schrenckii","GCA_030562195.1","Mollusca",92.31,558043,"C:92.1%[S:83.0%,D:9.1%],F:1.7%,M:6.2%,n:5295",92.1,"0.2.13",52,92.3077,"proto"
"Nipponacmea_schrenckii","GCA_030562195.1","Mollusca",92.31,558043,"C:92.1%[S:83.0%,D:9.1%],F:1.7%,M:6.2%,n:5295",92.1,"0.2.13",52,92.3077,"proto"
"Eupeodes_corollae","GCA_945859775.1","Diptera",74.63,1118934,"C:95.8%[S:94.6%,D:1.2%],F:0.8%,M:3.4%,n:3285",95.8,"0.2.13",67,80.6452,"proto"
"Scatophagus_argus","GCA_020382885.1","Clupeocephala",85.09,17189422,"C:97.4%[S:96.9%,D:0.5%],F:1.0%,M:1.6%,n:3640",97.4,"0.2.13",114,96.0396,"deutero"
"Notodonta_ziczac","GCA_918843915.1","Lepidoptera",71.64,11738570,"C:96.9%[S:96.3%,D:0.6%],F:0.8%,M:2.3%,n:5286",96.9,"0.2.13",67,77.4194,"proto"
"Celastrina_argiolus","GCA_905187575.1","Lepidoptera",70.15,7710655,"C:96.0%[S:95.5%,D:0.5%],F:0.6%,M:3.4%,n:5286",96,"0.2.13",67,75.8065,"proto"
"Trisateles_emortualis","GCA_947095545.1","Lepidoptera",71.64,2755475,"C:95.4%[S:94.3%,D:1.1%],F:0.9%,M:3.7%,n:5286",95.4,"0.2.13",67,77.4194,"proto"
"Adalia_decempunctata","GCA_951802165.1","Endopterygota",70.31,26378788,"C:94.7%[S:93.2%,D:1.5%],F:1.3%,M:4.0%,n:2124",94.7,"0.2.13",64,73.7705,"proto"
"Agrypnus_murinus","GCA_929114945.1","Endopterygota",62.5,448824,"C:72.2%[S:68.7%,D:3.5%],F:6.2%,M:21.6%,n:2124",72.2,"0.2.13",64,65.5738,"proto"
"Hesperia_comma","GCA_905404245.1","Lepidoptera",32.84,3878142,"C:40.0%[S:38.2%,D:1.8%],F:1.7%,M:58.3%,n:5286",40,"0.2.13",67,35.4839,"proto"
"Melinopterus_prodromus","GCA_964023965.1","Endopterygota",70.31,1982000,"C:96.4%[S:94.8%,D:1.6%],F:0.9%,M:2.7%,n:2124",96.4,"0.2.13",64,73.7705,"proto"
"Thera_britannica","GCA_939531255.2","Lepidoptera",71.64,6403893,"C:95.4%[S:94.8%,D:0.6%],F:1.1%,M:3.5%,n:5286",95.4,"0.2.13",67,77.4194,"proto"
"Merzomyia_westermanni","GCA_950005075.1","Diptera",62.69,993336,"C:90.0%[S:81.5%,D:8.5%],F:4.1%,M:5.9%,n:3285",90,"0.2.13",67,67.7419,"proto"
"Monopis_laevigella","GCA_947359445.1","Lepidoptera",61.19,11645250,"C:92.1%[S:88.5%,D:3.6%],F:2.2%,M:5.7%,n:5286",92.1,"0.2.13",67,66.129,"proto"
"Brachymystax_lenok_tsinlingensis","GCA_030435695.1","Clupeocephala",81.58,25569929,"C:95.3%[S:60.5%,D:34.8%],F:1.3%,M:3.4%,n:3640",95.3,"0.2.13",114,92.0792,"deutero"
"Xestia_sexstrigata","GCA_941918865.1","Lepidoptera",70.15,820504,"C:92.6%[S:91.9%,D:0.7%],F:1.0%,M:6.4%,n:5286",92.6,"0.2.13",67,75.8065,"proto"
"Spodoptera_littoralis","GCA_902850265.1","Lepidoptera",70.15,14400097,"C:92.8%[S:92.1%,D:0.7%],F:1.8%,M:5.4%,n:5286",92.8,"0.2.13",67,75.8065,"proto"
"Halyzia_sedecimguttata","GCA_937662695.1","Endopterygota",68.75,13814148,"C:89.4%[S:86.1%,D:3.3%],F:4.9%,M:5.7%,n:2124",89.4,"0.2.13",64,72.1311,"proto"
"Apamea_crenata","GCA_949629185.1","Lepidoptera",70.15,10580571,"C:94.2%[S:90.5%,D:3.7%],F:2.3%,M:3.5%,n:5286",94.2,"0.2.13",67,75.8065,"proto"
"Lochmaea_crataegi","GCA_947563755.1","Endopterygota",75,2848502,"C:96.8%[S:95.0%,D:1.8%],F:1.2%,M:2.0%,n:2124",96.8,"0.2.13",64,78.6885,"proto"
"Machimus_rusticus","GCA_951509405.1","Diptera",71.64,11885694,"C:95.7%[S:94.7%,D:1.0%],F:0.7%,M:3.6%,n:3285",95.7,"0.2.13",67,77.4194,"proto"
"Clusia_tigrina","GCA_920105625.2","Diptera",73.13,5698505,"C:92.7%[S:83.2%,D:9.5%],F:2.3%,M:5.0%,n:3285",92.7,"0.2.13",67,79.0323,"proto"
"Heteromyza_rotundicornis","GCA_951394035.1","Diptera",71.64,429611,"C:95.1%[S:84.5%,D:10.6%],F:1.6%,M:3.3%,n:3285",95.1,"0.2.13",67,77.4194,"proto"
"Eilema_depressum","GCA_914767945.1","Lepidoptera",73.13,21724503,"C:95.4%[S:92.4%,D:3.0%],F:2.3%,M:2.3%,n:5286",95.4,"0.2.13",67,79.0323,"proto"
"Homo_sapiens","GCA_018472565.1","Catarrhini",84.49,29077043,"C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Asterias_rubens","GCA_902459465.3","Eleutherozoa",55.81,1383654,"C:95.0%[S:88.3%,D:6.7%],F:1.3%,M:3.7%,n:954",95,"0.2.13",43,55.814,"deutero"
"Asterias_rubens","GCA_902459465.3","Eleutherozoa",55.81,1383654,"C:98.5%[S:97.6%,D:0.9%],F:0.3%,M:1.2%,n:954",98.5,"0.2.13",43,55.814,"deutero"
"Nautilus_pompilius","GCA_018389105.1","Cephalopoda",92.31,1094646,"C:82.4%[S:80.3%,D:2.1%],F:2.4%,M:15.2%,n:5295",82.4,"0.2.13",52,92.3077,"proto"
"Nautilus_pompilius","GCA_018389105.1","Cephalopoda",92.31,1094646,"C:82.4%[S:80.3%,D:2.1%],F:2.4%,M:15.2%,n:5295",82.4,"0.2.13",52,92.3077,"proto"
"Nautilus_pompilius","GCA_018389105.1","Cephalopoda",92.31,1094646,"C:82.4%[S:80.3%,D:2.1%],F:2.4%,M:15.2%,n:5295",82.4,"0.2.13",52,92.3077,"proto"
"Nautilus_pompilius","GCA_018389105.1","Cephalopoda",92.31,1094646,"C:82.4%[S:80.3%,D:2.1%],F:2.4%,M:15.2%,n:5295",82.4,"0.2.13",52,92.3077,"proto"
"Eugnorisma_glareosa","GCA_947578425.1","Lepidoptera",73.13,12079460,"C:92.6%[S:89.3%,D:3.3%],F:3.0%,M:4.4%,n:5286",92.6,"0.2.13",67,79.0323,"proto"
"Bellardia_pandia","GCA_916048285.2","Diptera",68.66,31809086,"C:97.0%[S:92.8%,D:4.2%],F:1.7%,M:1.3%,n:3285",97,"0.2.13",67,74.1935,"proto"
"Sphinx_pinastri","GCA_947568825.1","Lepidoptera",74.63,17730049,"C:95.9%[S:95.5%,D:0.4%],F:0.9%,M:3.2%,n:5286",95.9,"0.2.13",67,80.6452,"proto"
"Pelagia_noctiluca","GCA_963924455.1","Cnidaria",0,6030123,"C:92.0%[S:91.8%,D:0.2%],F:4.1%,M:3.9%,n:954",92,"0.2.13",3,0,"combined"
"Cepaea_nemoralis","GCA_964166675.1","Mollusca",82.69,651301,"C:88.4%[S:71.1%,D:17.3%],F:2.7%,M:8.9%,n:5295",88.4,"0.2.13",52,82.6923,"proto"
"Labrus_bergylta","GCA_963930695.1","Clupeocephala",84.21,2715806,"C:96.6%[S:95.9%,D:0.7%],F:0.7%,M:2.7%,n:3640",96.6,"0.2.13",114,95.0495,"deutero"
"Plumapathes_pennacea","GCA_964036295.1","Cnidaria",0,8495953,"C:95.5%[S:94.8%,D:0.7%],F:1.8%,M:2.7%,n:954",95.5,"0.2.13",3,0,"combined"
"Emmelina_monodactyla","GCA_916618145.1","Lepidoptera",65.67,10272145,"C:94.5%[S:93.3%,D:1.2%],F:1.3%,M:4.2%,n:5286",94.5,"0.2.13",67,70.9677,"proto"
"Megachile_leachella","GCA_963576845.1","Endopterygota",70.31,4596250,"C:93.3%[S:93.1%,D:0.2%],F:2.5%,M:4.2%,n:5991",93.3,"0.2.13",64,73.7705,"proto"
"Ellobium_chinense","GCA_033807755.1","Mollusca",84.62,21266,"C:93.4%[S:92.1%,D:1.3%],F:2.0%,M:4.6%,n:5295",93.4,"0.2.13",52,84.6154,"proto"
"Ellobium_chinense","GCA_033807755.1","Mollusca",84.62,21266,"C:93.4%[S:92.1%,D:1.3%],F:2.0%,M:4.6%,n:5295",93.4,"0.2.13",52,84.6154,"proto"
"Ellobium_chinense","GCA_033807755.1","Mollusca",84.62,21266,"C:93.4%[S:92.1%,D:1.3%],F:2.0%,M:4.6%,n:5295",93.4,"0.2.13",52,84.6154,"proto"
"Ellobium_chinense","GCA_033807755.1","Mollusca",84.62,21266,"C:93.4%[S:92.1%,D:1.3%],F:2.0%,M:4.6%,n:5295",93.4,"0.2.13",52,84.6154,"proto"
"Agriopis_aurantiaria","GCA_914767915.1","Lepidoptera",71.64,13323862,"C:91.2%[S:89.1%,D:2.1%],F:3.2%,M:5.6%,n:5286",91.2,"0.2.13",67,77.4194,"proto"
"Sarcophaga_subvicina","GCA_936449025.1","Diptera",67.16,10053539,"C:97.8%[S:97.1%,D:0.7%],F:0.4%,M:1.8%,n:3285",97.8,"0.2.13",67,72.5806,"proto"
"Peribatodes_rhomboidaria","GCA_911728505.1","Lepidoptera",71.64,604672,"C:92.0%[S:88.5%,D:3.5%],F:2.9%,M:5.1%,n:5286",92,"0.2.13",67,77.4194,"proto"
"Cariama_cristata","GCA_009819825.1","Neoaves",82.95,13514148,"C:90.2%[S:89.4%,D:0.8%],F:2.3%,M:7.5%,n:8338",90.2,"0.2.13",129,93.8596,"deutero"
"Galleria_mellonella","GCA_958496185.1","Lepidoptera",76.12,9261266,"C:96.0%[S:95.3%,D:0.7%],F:1.1%,M:2.9%,n:5286",96,"0.2.13",67,82.2581,"proto"
"Diadumene_lineata","GCA_918843875.1","Cnidaria",33.33,2745340,"C:95.7%[S:95.2%,D:0.5%],F:2.2%,M:2.1%,n:954",95.7,"0.2.13",3,33.3333,"combined"
"Aproaerema_taeniolella","GCA_949987775.1","Lepidoptera",79.1,950877,"C:93.6%[S:89.6%,D:4.0%],F:2.1%,M:4.3%,n:5286",93.6,"0.2.13",67,85.4839,"proto"
"Cairina_moschata","GCA_018104995.1","Neognathae",75,315520,"C:93.8%[S:92.6%,D:1.2%],F:1.6%,M:4.6%,n:8338",93.8,"0.2.13",128,84.9558,"deutero"
"Pungitius_pungitius","GCA_949316345.1","Clupeocephala",83.33,1362288,"C:95.0%[S:93.9%,D:1.1%],F:1.4%,M:3.6%,n:3640",95,"0.2.13",114,94.0594,"deutero"
"Hyles_vespertilio","GCA_009982885.1","Lepidoptera",71.64,7475438,"C:96.6%[S:94.0%,D:2.6%],F:1.2%,M:2.2%,n:5286",96.6,"0.2.13",67,77.4194,"proto"
"Bombus_sylvestris","GCA_911622165.1","Endopterygota",70.31,5862009,"C:94.1%[S:93.8%,D:0.3%],F:2.2%,M:3.7%,n:5991",94.1,"0.2.13",64,73.7705,"proto"
"Cheilosia_variabilis","GCA_951230875.1","Diptera",74.63,1827042,"C:93.3%[S:84.9%,D:8.4%],F:1.8%,M:4.9%,n:3285",93.3,"0.2.13",67,80.6452,"proto"
"Homo_sapiens","GCA_018504665.1","Catarrhini",84.49,17440620,"C:98.9%[S:98.4%,D:0.5%],F:0.2%,M:0.9%,n:13780",98.9,"0.2.13",245,99.5192,"deutero"
"Eristalis_pertinax","GCA_907269125.1","Diptera",71.64,3485103,"C:96.5%[S:95.7%,D:0.8%],F:0.6%,M:2.9%,n:3285",96.5,"0.2.13",67,77.4194,"proto"
"Vanessa_tameamea","GCA_002938995.1","Lepidoptera",77.61,254123,"C:96.2%[S:95.9%,D:0.3%],F:1.0%,M:2.8%,n:5286",96.2,"0.2.13",67,83.871,"proto"
"Itoplectis_maculator","GCA_964034905.1","Endopterygota",64.06,1347257,"C:92.3%[S:89.8%,D:2.5%],F:3.3%,M:4.4%,n:5991",92.3,"0.2.13",64,67.2131,"proto"
"Zygaena_filipendulae","GCA_907165275.1","Lepidoptera",67.16,12640274,"C:96.3%[S:95.8%,D:0.5%],F:0.9%,M:2.8%,n:5286",96.3,"0.2.13",67,72.5806,"proto"
"Endomychus_coccineus","GCA_958510875.1","Endopterygota",76.56,2494558,"C:97.2%[S:96.3%,D:0.9%],F:1.2%,M:1.6%,n:2124",97.2,"0.2.13",64,80.3279,"proto"
"Taeniopygia_guttata","GCA_003957565.2","Neoaves",82.95,11998827,"C:93.1%[S:91.5%,D:1.6%],F:1.5%,M:5.4%,n:10844",93.1,"0.2.13",129,93.8596,"deutero"
"Pheosia_tremula","GCA_905333125.1","Lepidoptera",73.13,7703384,"C:96.9%[S:96.6%,D:0.3%],F:0.8%,M:2.3%,n:5286",96.9,"0.2.13",67,79.0323,"proto"
"Hypsopygia_costalis","GCA_937001695.2","Lepidoptera",73.13,1108260,"C:92.0%[S:87.9%,D:4.1%],F:3.2%,M:4.8%,n:5286",92,"0.2.13",67,79.0323,"proto"
"Andrena_flavipes","GCA_963971345.1","Endopterygota",68.75,6085677,"C:92.6%[S:92.3%,D:0.3%],F:3.9%,M:3.5%,n:5991",92.6,"0.2.13",64,72.1311,"proto"
"Andrena_flavipes","GCA_963971345.1","Endopterygota",68.75,6085677,"C:92.6%[S:92.3%,D:0.3%],F:3.9%,M:3.5%,n:5991",92.6,"0.2.13",64,72.1311,"proto"
"Andrena_flavipes","GCA_963971345.1","Endopterygota",68.75,6085677,"C:92.6%[S:92.3%,D:0.3%],F:3.9%,M:3.5%,n:5991",92.6,"0.2.13",64,72.1311,"proto"
"Andrena_flavipes","GCA_963971345.1","Endopterygota",68.75,6085677,"C:92.6%[S:92.3%,D:0.3%],F:3.9%,M:3.5%,n:5991",92.6,"0.2.13",64,72.1311,"proto"
"Cyprinus_carpio","GCA_018340385.1","Clupeocephala",83.33,1558716,"C:94.4%[S:37.0%,D:57.4%],F:1.5%,M:4.1%,n:3640",94.4,"0.2.13",114,94.0594,"deutero"
"Cyprinus_carpio","GCA_018340385.1","Clupeocephala",83.33,1558716,"C:94.4%[S:37.0%,D:57.4%],F:1.5%,M:4.1%,n:3640",94.4,"0.2.13",114,94.0594,"deutero"
"Cyprinus_carpio","GCA_018340385.1","Clupeocephala",83.33,1558716,"C:94.4%[S:37.0%,D:57.4%],F:1.5%,M:4.1%,n:3640",94.4,"0.2.13",114,94.0594,"deutero"
"Cyprinus_carpio","GCA_018340385.1","Clupeocephala",83.33,1558716,"C:94.4%[S:37.0%,D:57.4%],F:1.5%,M:4.1%,n:3640",94.4,"0.2.13",114,94.0594,"deutero"
"Diurnea_fagella","GCA_964059355.1","Lepidoptera",73.13,11042170,"C:92.2%[S:91.4%,D:0.8%],F:1.6%,M:6.2%,n:5286",92.2,"0.2.13",67,79.0323,"proto"
"Meriones_unguiculatus","GCA_004026785.1","Muridae",63.56,69839,"C:86.7%[S:85.8%,D:0.9%],F:4.8%,M:8.5%,n:12692",86.7,"0.2.13",236,72.4638,"deutero"
"Dicycla_oo","GCA_948252095.1","Lepidoptera",68.66,12583763,"C:91.4%[S:88.6%,D:2.8%],F:3.5%,M:5.1%,n:5286",91.4,"0.2.13",67,74.1935,"proto"
"Crassostrea_rhizophorae","GCA_040285155.1","Mollusca",94.23,4865592,"C:96.9%[S:91.4%,D:5.5%],F:0.9%,M:2.2%,n:5295",96.9,"0.2.13",52,94.2308,"proto"
"Ypsolopha_scabrella","GCA_910591985.1","Lepidoptera",73.13,1989567,"C:89.1%[S:86.1%,D:3.0%],F:4.3%,M:6.6%,n:5286",89.1,"0.2.13",67,79.0323,"proto"
"Cheilosia_vernalis","GCA_949126935.1","Diptera",74.63,3714037,"C:93.6%[S:86.2%,D:7.4%],F:1.8%,M:4.6%,n:3285",93.6,"0.2.13",67,80.6452,"proto"
"Tadarida_brasiliensis","GCA_030848825.1","Laurasiatheria",71.89,86333355,"C:97.3%[S:96.1%,D:1.2%],F:0.8%,M:1.9%,n:12234",97.3,"0.2.13",217,82.1053,"deutero"
"Tadarida_brasiliensis","GCA_030848825.1","Laurasiatheria",71.89,86333355,"C:97.3%[S:96.1%,D:1.2%],F:0.8%,M:1.9%,n:12234",97.3,"0.2.13",217,82.1053,"deutero"
"Tadarida_brasiliensis","GCA_030848825.1","Laurasiatheria",71.89,86333355,"C:97.3%[S:96.1%,D:1.2%],F:0.8%,M:1.9%,n:12234",97.3,"0.2.13",217,82.1053,"deutero"
"Tadarida_brasiliensis","GCA_030848825.1","Laurasiatheria",71.89,86333355,"C:97.3%[S:96.1%,D:1.2%],F:0.8%,M:1.9%,n:12234",97.3,"0.2.13",217,82.1053,"deutero"
"Blastobasis_adustella","GCA_907269095.1","Lepidoptera",73.13,17994227,"C:91.1%[S:90.3%,D:0.8%],F:1.8%,M:7.1%,n:5286",91.1,"0.2.13",67,79.0323,"proto"
"Acleris_literana","GCA_946894075.1","Lepidoptera",76.12,2242295,"C:94.4%[S:93.3%,D:1.1%],F:1.2%,M:4.4%,n:5286",94.4,"0.2.13",67,82.2581,"proto"
"Oryzias_latipes","GCA_947078815.1","Clupeocephala",80.7,1738765,"C:95.6%[S:94.9%,D:0.7%],F:1.4%,M:3.0%,n:3640",95.6,"0.2.13",114,91.0891,"deutero"
"Protodeltote_pygarga","GCA_936450705.1","Lepidoptera",71.64,14151730,"C:95.8%[S:93.5%,D:2.3%],F:2.0%,M:2.2%,n:5286",95.8,"0.2.13",67,77.4194,"proto"
"Anableps_anableps","GCA_014839685.1","Clupeocephala",82.46,17460000,"C:87.5%[S:87.0%,D:0.5%],F:2.0%,M:10.5%,n:15213",87.5,"0.2.13",114,93.0693,"deutero"
"Homo_sapiens","GCA_018469415.1","Catarrhini",84.49,55482364,"C:99.0%[S:97.8%,D:1.2%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Halichondria_panicea","GCA_963675165.1","Demospongiae",0,1456123,"C:85.7%[S:84.3%,D:1.4%],F:4.4%,M:9.9%,n:954",85.7,"0.2.13",6,0,"combined"
"Takifugu_bimaculatus","GCA_004026145.2","Clupeocephala",83.33,1312995,"C:83.9%[S:78.6%,D:5.3%],F:3.2%,M:12.9%,n:3640",83.9,"0.2.13",114,94.0594,"deutero"
"Pandemis_heparana","GCA_963854515.1","Lepidoptera",71.64,3511077,"C:95.2%[S:94.5%,D:0.7%],F:1.3%,M:3.5%,n:5286",95.2,"0.2.13",67,77.4194,"proto"
"Apocheima_hispidaria","GCA_947579745.1","Lepidoptera",74.63,6948216,"C:95.8%[S:95.2%,D:0.6%],F:0.9%,M:3.3%,n:5286",95.8,"0.2.13",67,80.6452,"proto"
"Stenoptilia_bipunctidactyla","GCA_944452665.1","Lepidoptera",64.18,3693567,"C:93.9%[S:91.3%,D:2.6%],F:2.7%,M:3.4%,n:5286",93.9,"0.2.13",67,69.3548,"proto"
"Cerceris_rybyensis","GCA_910591445.2","Endopterygota",67.19,812085,"C:88.8%[S:88.3%,D:0.5%],F:1.7%,M:9.5%,n:5991",88.8,"0.2.13",64,70.4918,"proto"
"Lagopus_muta","GCA_023343835.1","Neognathae",80.47,17905263,"C:95.2%[S:94.7%,D:0.5%],F:1.2%,M:3.6%,n:8338",95.2,"0.2.13",128,91.1504,"deutero"
"Ovis_aries","GCA_022432825.1","Laurasiatheria",77.88,59951985,"C:95.4%[S:93.8%,D:1.6%],F:1.4%,M:3.2%,n:13335",95.4,"0.2.13",217,88.9474,"deutero"
"Thalpophila_matura","GCA_948466365.1","Lepidoptera",70.15,881319,"C:91.4%[S:86.5%,D:4.9%],F:3.4%,M:5.2%,n:5286",91.4,"0.2.13",67,75.8065,"proto"
"Loxodonta_africana","GCA_030014295.1","Eutheria",76.28,82653632,"C:97.2%[S:96.6%,D:0.6%],F:0.8%,M:2.0%,n:11366",97.2,"0.2.13",215,87.234,"deutero"
"Atethmia_centrago","GCA_905333075.3","Lepidoptera",73.13,26605457,"C:92.4%[S:90.1%,D:2.3%],F:3.3%,M:4.3%,n:5286",92.4,"0.2.13",67,79.0323,"proto"
"Homo_sapiens","GCA_018471515.1","Catarrhini",84.49,54936949,"C:99.0%[S:98.4%,D:0.6%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Perizoma_affinitatum","GCA_961405105.1","Lepidoptera",70.15,11939442,"C:93.3%[S:91.1%,D:2.2%],F:2.7%,M:4.0%,n:5286",93.3,"0.2.13",67,75.8065,"proto"
"Myathropa_florea","GCA_930367185.1","Diptera",71.64,8948556,"C:86.5%[S:82.5%,D:4.0%],F:2.7%,M:10.8%,n:3285",86.5,"0.2.13",67,77.4194,"proto"
"Anthophora_plumipes","GCA_951804975.1","Endopterygota",70.31,7034000,"C:92.2%[S:91.5%,D:0.7%],F:2.6%,M:5.2%,n:5991",92.2,"0.2.13",64,73.7705,"proto"
"Xestospongia_muta","GCA_963693285.1","Demospongiae",0,1868977,"C:88.6%[S:84.9%,D:3.7%],F:4.3%,M:7.1%,n:954",88.6,"0.2.13",6,0,"combined"
"Acanthosoma_haemorrhoidale","GCA_930367205.1","Neoptera",59.68,3364162,"C:96.6%[S:94.5%,D:2.1%],F:1.0%,M:2.4%,n:2510",96.6,"0.2.13",62,62.7119,"proto"
"Cromileptes_altivelis","GCA_019925165.1","Clupeocephala",85.09,5160563,"C:95.4%[S:94.2%,D:1.2%],F:1.3%,M:3.3%,n:3640",95.4,"0.2.13",114,96.0396,"deutero"
"Episyrphus_balteatus","GCA_945859705.1","Diptera",76.12,5909399,"C:96.1%[S:95.2%,D:0.9%],F:0.7%,M:3.2%,n:3285",96.1,"0.2.13",67,82.2581,"proto"
"Crepidodera_aurea","GCA_949320105.2","Endopterygota",75,4358255,"C:94.6%[S:90.3%,D:4.3%],F:2.9%,M:2.5%,n:2124",94.6,"0.2.13",64,78.6885,"proto"
